groupId,playerId,fair,T,W,age,gender
3,1,Unfair,RA,1,32,Male
3,2,Unfair,RA,0,61,Male
3,1,Unfair,RA,0,29,Female
3,2,Fair,RA,1,41,Female
4,1,Unfair,RA,1,31,Male
4,2,Unfair,RA,0,32,Male
4,2,Unfair,RA,1,30,Male
4,1,Fair,RA,0,32,Female
4,2,Unfair,RA,0,29,Male
4,1,Fair,RA,1,26,Female
5,2,Fair,RA,1,30,Male
5,1,Unfair,RA,0,30,Female
5,2,Unfair,RA,0,55,Female
5,1,Unfair,RA,1,65,Male
5,2,Fair,RA,0,44,Male
5,1,Fair,RA,1,29,Male
5,1,Unfair,RA,0,28,Male
5,2,Fair,RA,1,27,Female
5,2,Fair,RA,1,24,Male
5,1,Unfair,RA,0,30,Male
5,2,Fair,RA,1,35,Female
5,1,Fair,RA,0,45,Male
5,1,Unfair,RA,1,24,Male
5,2,Fair,RA,0,36,Female
6,1,Fair,RA,1,35,Male
6,2,Fair,RA,0,34,Male
6,1,Fair,RA,1,62,Male
6,2,Fair,RA,0,28,Male
6,1,Unfair,RA,1,29,Male
6,2,Unfair,RA,0,34,Female
6,2,Fair,RA,1,31,Female
6,1,Fair,RA,0,54,Female
6,1,Unfair,RA,0,53,Female
6,2,Fair,RA,1,35,Female
7,2,Fair,RA,1,33,Male
7,1,Fair,RA,0,46,Female
7,1,Fair,RA,1,40,Male
7,2,Fair,RA,0,27,Male
7,2,Fair,RA,0,45,Female
7,1,Unfair,RA,1,32,Male
7,1,Fair,RA,1,27,Male
7,2,Unfair,RA,0,23,Male
7,2,Fair,RA,0,29,Male
7,1,Fair,RA,1,42,Female
7,2,Unfair,RA,0,30,Female
7,1,Fair,RA,1,33,Male
8,2,Fair,RA,1,34,Female
8,1,Unfair,RA,0,23,Female
8,2,Fair,RA,1,26,Male
8,1,Unfair,RA,0,34,Male
8,1,Fair,RA,1,34,Female
8,2,Fair,RA,0,35,Male
8,2,Fair,RA,0,43,Male
8,1,Fair,RA,1,36,Female
9,2,Unfair,RA,0,58,Male
9,1,Fair,RA,1,53,Female
9,2,Unfair,RA,1,45,Female
9,1,Unfair,RA,0,36,Male
9,2,Fair,RA,1,22,Male
9,1,Fair,RA,0,46,Female
9,1,Fair,RA,1,39,Male
9,2,Unfair,RA,0,31,Male
9,1,Unfair,RA,1,62,Male
9,2,Unfair,RA,0,26,Male
9,1,Fair,RA,1,24,Female
9,2,Unfair,RA,0,34,Male
9,2,Unfair,RA,0,25,Male
9,1,Fair,RA,1,61,Male
10,2,Unfair,RA,0,34,Female
10,1,Fair,RA,1,38,Male
10,1,Fair,RA,0,60,Male
10,2,Fair,RA,1,40,Female
10,2,Unfair,RA,0,61,Male
10,1,Unfair,RA,1,34,Male
10,1,Fair,RA,1,43,Female
10,2,Fair,RA,0,27,Female
11,1,Fair,RA,1,25,Male
11,2,Unfair,RA,0,59,Female
11,2,Fair,RA,1,39,Female
11,1,Fair,RA,0,53,Female
11,2,Fair,RA,1,27,Male
11,1,Fair,RA,0,33,Female
11,1,Fair,RA,1,50,Female
11,2,Unfair,RA,0,30,Male
11,1,Unfair,RA,1,34,Male
11,2,Fair,RA,0,60,Female
11,2,Fair,RA,0,26,Male
11,1,Fair,RA,1,35,Female
12,1,Fair,RA,1,26,Female
12,2,Unfair,RA,0,29,Female
12,2,Fair,RA,1,30,Female
12,1,Fair,RA,0,53,Male
12,1,Fair,RA,1,43,Female
12,2,Fair,RA,0,36,Female
12,2,Unfair,RA,0,39,Female
12,1,Fair,RA,1,36,Female
12,2,Fair,RA,1,42,Male
12,1,Fair,RA,0,29,Male
12,1,Unfair,RA,0,30,Female
12,2,Fair,RA,1,30,Male
13,1,Fair,RA,0,29,Female
13,2,Fair,RA,1,22,Female
13,2,Fair,RA,1,50,Male
13,1,Unfair,RA,0,25,Male
13,1,Fair,RA,1,24,Male
13,2,Unfair,RA,0,32,Male
13,1,Fair,RA,1,35,Female
13,2,Unfair,RA,0,24,Female
13,1,Unfair,RA,1,46,Female
13,2,Fair,RA,0,29,Female
13,2,Unfair,RA,0,25,Male
13,1,Fair,RA,1,24,Male
14,1,Unfair,RA,1,35,Male
14,2,Unfair,RA,0,47,Female
14,2,Fair,RA,1,50,Female
14,1,Fair,RA,0,36,Female
14,1,Fair,RA,1,24,Male
14,2,Fair,RA,0,25,Male
14,1,Fair,RA,0,48,Female
14,2,Unfair,RA,1,27,Male
14,1,Fair,RA,1,48,Female
14,2,Fair,RA,0,37,Female
15,2,Unfair,RA,0,62,Male
15,1,Unfair,RA,1,38,Female
16,2,Fair,RA,1,49,Female
16,1,Unfair,RA,0,60,Female
16,1,Fair,RA,1,37,Female
16,2,Fair,RA,0,30,Male
17,2,Fair,RA,0,65,Female
17,1,Fair,RA,1,33,Female
18,1,Fair,RA,1,40,Male
18,2,Fair,RA,0,35,Female
18,1,Fair,RA,1,63,Female
18,2,Unfair,RA,0,22,Male
19,1,Unfair,RA,0,38,Female
19,2,Fair,RA,1,52,Male
1,2,Fair,RE1,0,36,Male
1,1,Fair,RE1,1,42,Male
1,1,Unfair,RE1,0,33,Male
1,2,Unfair,RE1,1,43,Female
1,2,Unfair,RE1,0,34,Female
1,1,Unfair,RE1,1,40,Male
1,1,Unfair,RE1,1,37,Male
1,2,Unfair,RE1,0,34,Male
2,2,Fair,RE1,1,75,Male
2,1,Fair,RE1,0,29,Female
2,1,Fair,RE1,1,32,Female
2,2,Unfair,RE1,0,31,Female
2,2,Unfair,RE1,0,48,Male
2,1,Fair,RE1,1,29,Male
2,1,Fair,RE1,0,30,Female
2,2,Fair,RE1,1,30,Male
2,1,Unfair,RE1,0,NA,Female
2,2,Fair,RE1,1,28,Male
2,1,Fair,RE1,1,38,Male
2,2,Unfair,RE1,0,31,Female
2,2,Unfair,RE1,1,37,Female
2,1,Fair,RE1,0,51,Female
3,1,Unfair,RE1,0,49,Female
3,2,Fair,RE1,1,43,Female
3,1,Fair,RE1,1,39,Male
3,2,Unfair,RE1,0,49,Female
3,2,Unfair,RE1,0,28,Male
3,1,Fair,RE1,1,31,Female
3,2,Unfair,RE1,0,32,Male
3,1,Fair,RE1,1,41,Male
3,2,Fair,RE1,1,29,Female
3,1,Unfair,RE1,0,27,Female
3,2,Unfair,RE1,0,37,Male
3,1,Unfair,RE1,1,49,Male
3,1,Fair,RE1,0,54,Female
3,2,Fair,RE1,1,30,Male
3,1,Unfair,RE1,0,44,Female
3,2,Fair,RE1,1,25,Male
4,2,Fair,RE1,0,26,Female
4,1,Fair,RE1,1,36,Female
4,2,Unfair,RE1,0,46,Female
4,1,Fair,RE1,1,31,Male
4,2,Unfair,RE1,0,25,Female
4,1,Fair,RE1,1,50,Female
4,1,Unfair,RE1,0,40,Female
4,2,Fair,RE1,1,26,Male
4,2,Unfair,RE1,0,50,Male
4,1,Fair,RE1,1,27,Female
4,2,Fair,RE1,1,44,Female
4,1,Unfair,RE1,0,33,Female
4,2,Unfair,RE1,0,30,Female
4,1,Unfair,RE1,1,39,Male
5,2,Unfair,RE1,0,59,Female
5,1,Fair,RE1,1,43,Female
5,1,Unfair,RE1,1,48,Female
5,2,Unfair,RE1,0,24,Female
5,1,Unfair,RE1,1,34,Female
5,2,Unfair,RE1,0,21,Male
5,2,Unfair,RE1,0,40,Female
5,1,Unfair,RE1,1,43,Female
5,1,Fair,RE1,1,34,Female
5,2,Unfair,RE1,0,33,Male
5,2,Fair,RE1,1,39,Female
5,1,Unfair,RE1,0,54,Female
5,1,Unfair,RE1,1,34,Male
5,2,Fair,RE1,0,59,Female
5,1,Fair,RE1,1,28,Female
5,2,Unfair,RE1,0,25,Female
6,1,Unfair,RE1,1,37,Female
6,2,Unfair,RE1,0,64,Male
6,1,Unfair,RE1,0,33,Male
6,2,Fair,RE1,1,44,Female
6,1,Fair,RE1,0,64,Female
6,2,Fair,RE1,1,42,Female
6,2,Unfair,RE1,0,26,Male
6,1,Fair,RE1,1,27,Female
6,2,Unfair,RE1,0,42,Female
6,1,Unfair,RE1,1,49,Male
6,2,Fair,RE1,0,31,Other
6,1,Unfair,RE1,1,38,Female
7,2,Fair,RE1,1,31,Female
7,1,Unfair,RE1,0,36,Male
7,1,Unfair,RE1,0,33,Female
7,2,Unfair,RE1,1,30,Male
7,2,Fair,RE1,1,31,Male
7,1,Unfair,RE1,0,47,Female
7,1,Fair,RE1,1,40,Female
7,2,Unfair,RE1,0,30,Female
7,1,Unfair,RE1,1,32,Female
7,2,Unfair,RE1,0,50,Male
7,1,Fair,RE1,1,53,Male
7,2,Unfair,RE1,0,31,Male
8,2,Fair,RE1,0,31,Female
8,1,Fair,RE1,1,40,Female
8,1,Fair,RE1,1,63,Female
8,2,Unfair,RE1,0,39,Male
8,1,Fair,RE1,1,30,Male
8,2,Unfair,RE1,0,42,Female
8,1,Unfair,RE1,0,35,Male
8,2,Fair,RE1,1,32,Female
8,2,Unfair,RE1,1,22,Female
8,1,Unfair,RE1,0,19,Male
8,2,Unfair,RE1,1,52,Female
8,1,Unfair,RE1,0,25,Male
9,1,Fair,RE1,1,22,Male
9,2,Fair,RE1,0,26,Female
9,2,Unfair,RE1,1,53,Female
9,1,Fair,RE1,0,45,Female
9,1,Unfair,RE1,0,20,Female
9,2,Fair,RE1,1,34,Female
9,1,Unfair,RE1,1,26,Male
9,2,Unfair,RE1,0,37,Male
9,2,Unfair,RE1,1,29,Male
9,1,Fair,RE1,0,40,Female
9,1,Fair,RE1,1,38,Female
9,2,Fair,RE1,0,38,Female
10,1,Fair,RE1,1,43,Female
10,2,Unfair,RE1,0,36,Female
10,2,Unfair,RE1,0,27,Female
10,1,Unfair,RE1,1,28,Male
10,1,Unfair,RE1,1,36,Female
10,2,Unfair,RE1,0,54,Male
10,1,Unfair,RE1,1,25,Female
10,2,Unfair,RE1,0,38,Male
10,1,Fair,RE1,0,23,Female
10,2,Fair,RE1,1,53,Male
10,2,Fair,RE1,1,62,Female
10,1,Fair,RE1,0,55,Male
11,1,Fair,RE1,1,32,Male
11,2,Unfair,RE1,0,32,Female
11,1,Unfair,RE1,1,23,Female
11,2,Unfair,RE1,0,47,Male
11,2,Unfair,RE1,0,29,Male
11,1,Unfair,RE1,1,29,Male
11,2,Unfair,RE1,0,55,Female
11,1,Fair,RE1,1,26,Female
12,2,Unfair,RE1,0,57,Female
12,1,Fair,RE1,1,43,Female
12,1,Fair,RE1,1,32,Female
12,2,Fair,RE1,0,32,Female
12,1,Fair,RE1,1,32,Male
12,2,Fair,RE1,0,33,Female
12,1,Fair,RE1,1,66,Male
12,2,Fair,RE1,0,27,Male
13,1,Fair,RE1,1,34,Male
13,2,Unfair,RE1,0,38,Male
13,1,Unfair,RE1,0,27,Female
13,2,Fair,RE1,1,31,Female
13,2,Fair,RE1,1,36,Female
13,1,Fair,RE1,0,21,Female
13,1,Unfair,RE1,0,39,Male
13,2,Unfair,RE1,1,48,Male
13,2,Unfair,RE1,0,26,Female
13,1,Fair,RE1,1,40,Male
14,1,Unfair,RE1,1,42,Male
14,2,Fair,RE1,0,52,Female
14,2,Fair,RE1,0,28,Female
14,1,Unfair,RE1,1,30,Male
14,2,Fair,RE1,0,40,Male
14,1,Unfair,RE1,1,29,Male
15,2,Fair,RE1,1,41,Female
15,1,Fair,RE1,0,31,Female
15,1,Unfair,RE1,1,23,Male
15,2,Unfair,RE1,0,36,Female
16,1,Fair,RE1,1,28,Female
16,2,Fair,RE1,0,28,Female
1,1,Unfair,RE2,0,38,Male
1,2,Unfair,RE2,1,23,Male
1,1,Unfair,RE2,1,47,Male
1,2,Unfair,RE2,0,29,Female
1,2,Fair,RE2,1,62,Male
1,1,Unfair,RE2,0,29,Female
1,2,Fair,RE2,1,48,Male
1,1,Unfair,RE2,0,43,Male
1,2,Unfair,RE2,0,24,Male
1,1,Fair,RE2,1,44,Male
1,2,Fair,RE2,1,47,Male
1,1,Unfair,RE2,0,46,Female
2,2,Fair,RE2,1,50,Female
2,1,Fair,RE2,0,28,Female
2,1,Unfair,RE2,1,60,Male
2,2,Unfair,RE2,0,26,Male
2,1,Fair,RE2,1,40,Male
2,2,Unfair,RE2,0,22,Male
2,2,Unfair,RE2,0,27,Male
2,1,Unfair,RE2,1,31,Male
2,1,Unfair,RE2,0,27,Female
2,2,Unfair,RE2,1,26,Female
2,2,Unfair,RE2,0,30,Male
2,1,Unfair,RE2,1,27,Female
3,1,Unfair,RE2,0,39,Female
3,2,Unfair,RE2,1,38,Male
3,1,Unfair,RE2,0,56,Male
3,2,Fair,RE2,1,46,Male
3,1,Unfair,RE2,1,27,Male
3,2,Unfair,RE2,0,56,Male
3,1,Unfair,RE2,1,46,Female
3,1,Unfair,RE2,0,27,Female
3,2,Fair,RE2,1,30,Male
3,1,Unfair,RE2,0,30,Male
3,2,Unfair,RE2,1,27,Male
3,1,Unfair,RE2,0,23,Male
3,2,Unfair,RE2,1,22,Female
3,2,Unfair,RE2,0,56,Female
3,1,Unfair,RE2,1,34,Male
4,1,Unfair,RE2,1,27,Male
4,2,Unfair,RE2,0,51,Female
4,1,Unfair,RE2,0,24,Male
4,2,Unfair,RE2,1,47,Female
4,1,Fair,RE2,1,33,Male
4,2,Unfair,RE2,0,54,Female
4,1,Unfair,RE2,0,26,Male
4,2,Fair,RE2,1,45,Male
4,2,Fair,RE2,1,48,Female
4,1,Unfair,RE2,0,29,Female
4,2,Unfair,RE2,0,49,Male
4,1,Unfair,RE2,1,34,Male
4,1,Unfair,RE2,0,32,Male
4,2,Unfair,RE2,1,32,Male
5,2,Unfair,RE2,0,32,Female
5,1,Fair,RE2,1,34,Female
5,1,Fair,RE2,1,53,Male
5,2,Unfair,RE2,0,62,Female
5,1,Unfair,RE2,1,34,Female
5,2,Unfair,RE2,0,33,Female
5,1,Unfair,RE2,0,30,Female
5,2,Fair,RE2,1,36,Female
5,2,Unfair,RE2,1,35,Male
5,1,Unfair,RE2,0,29,Male
5,2,Unfair,RE2,0,43,Female
5,1,Unfair,RE2,1,26,Female
5,1,Unfair,RE2,0,31,Female
5,2,Unfair,RE2,1,63,Female
6,1,Unfair,RE2,0,30,Female
6,2,Fair,RE2,1,50,Male
6,1,Fair,RE2,1,26,Male
6,2,Unfair,RE2,0,32,Female
6,2,Unfair,RE2,1,28,Female
6,1,Unfair,RE2,0,36,Female
6,2,Unfair,RE2,0,64,Female
6,1,Unfair,RE2,1,35,Female
6,2,Fair,RE2,0,35,Female
6,1,Unfair,RE2,1,40,Male
6,1,Unfair,RE2,0,28,Female
6,2,Unfair,RE2,1,37,Female
7,2,Fair,RE2,1,60,Male
7,1,Fair,RE2,0,33,Male
7,1,Unfair,RE2,0,38,Female
7,2,Fair,RE2,1,45,Male
7,1,Fair,RE2,0,31,Male
7,2,Unfair,RE2,1,64,Male
7,1,Fair,RE2,1,35,Female
7,2,Unfair,RE2,0,28,Male
7,1,Unfair,RE2,0,32,Female
7,2,Fair,RE2,1,39,Female
8,2,Unfair,RE2,0,29,Female
8,1,Fair,RE2,1,22,Male
8,2,Unfair,RE2,0,26,Female
8,1,Fair,RE2,1,26,Female
8,1,Unfair,RE2,0,43,Female
8,2,Fair,RE2,1,35,Male
8,2,Unfair,RE2,1,50,Male
8,1,Unfair,RE2,0,63,Male
8,2,Unfair,RE2,0,30,Male
8,1,Unfair,RE2,1,43,Male
9,1,Unfair,RE2,1,50,Female
9,2,Unfair,RE2,0,25,Female
9,2,Unfair,RE2,1,38,Female
9,1,Fair,RE2,0,77,Female
9,1,Fair,RE2,1,29,Male
9,2,Unfair,RE2,0,48,Female
9,2,Unfair,RE2,0,34,Male
9,1,Unfair,RE2,1,29,Female
9,1,Unfair,RE2,0,31,Male
9,2,Fair,RE2,1,38,Female
10,2,Fair,RE2,1,65,Female
10,1,Unfair,RE2,0,44,Female
10,2,Fair,RE2,1,23,Male
10,1,Fair,RE2,0,44,Female
10,2,Unfair,RE2,0,40,Male
10,2,Unfair,RE2,1,31,Male
10,1,Unfair,RE2,0,30,Male
10,2,Unfair,RE2,0,28,Female
10,1,Unfair,RE2,1,31,Male
10,2,Unfair,RE2,0,33,Female
10,1,Fair,RE2,1,35,Male
11,1,Unfair,RE2,1,48,Female
11,2,Fair,RE2,0,49,Male
11,2,Unfair,RE2,0,70,Female
11,1,Unfair,RE2,1,25,Female
11,2,Unfair,RE2,1,45,Female
11,1,Unfair,RE2,0,28,Female
11,2,Fair,RE2,0,60,Female
11,1,Unfair,RE2,1,26,Male
12,1,Unfair,RE2,0,37,Female
12,2,Unfair,RE2,1,28,Male
12,2,Unfair,RE2,0,24,Male
12,1,Unfair,RE2,1,55,Male
12,2,Unfair,RE2,0,31,Male
12,1,Unfair,RE2,1,25,Male
12,2,Fair,RE2,0,26,Female
12,1,Fair,RE2,1,35,Male
13,2,Fair,RE2,1,31,Female
13,1,Unfair,RE2,0,25,Male
13,1,Fair,RE2,0,43,Female
13,2,Fair,RE2,1,52,Male
13,1,Unfair,RE2,0,53,Female
13,2,Fair,RE2,1,53,Female
13,1,Unfair,RE2,1,24,Male
13,2,Unfair,RE2,0,32,Male
13,2,Fair,RE2,1,33,Male
13,1,Unfair,RE2,0,29,Male
13,1,Unfair,RE2,1,30,Male
13,2,Unfair,RE2,0,31,Male
14,2,Unfair,RE2,1,37,NA
14,1,Fair,RE2,0,46,Female
14,1,Fair,RE2,1,54,Female
14,2,Unfair,RE2,0,24,Male
14,2,Fair,RE2,1,34,Male
14,1,Unfair,RE2,0,50,Female
14,2,Unfair,RE2,1,31,Female
14,1,Unfair,RE2,0,22,Male
15,1,Unfair,RE2,0,27,Male
15,2,Fair,RE2,1,34,Female
16,2,Unfair,RE2,1,40,Male
16,1,Unfair,RE2,0,29,Male
17,2,Unfair,RE2,0,35,Male
17,1,Fair,RE2,1,38,Male
